Source,Target,Type,weight,place
Georgiana-Sala,Stefan-Leonte,Undirected,3,1
Georgiana-Sala,Timon-Lascu,Undirected,6,1
Natalia-Constantin,Veronica-Matei,Undirected,5,1
Natalia-Constantin,Mihai-Constantin,Undirected,4,1
Isabela-Lupu,Sabina-Petran,Undirected,4,1
Isabela-Lupu,Lucia-Funar,Undirected,4,1
Isabela-Lupu,Sandra-Adam,Undirected,9,1
Isabela-Lupu,Clydas,Undirected,5,1
Isabela-Lupu,Astrid-Dragan,Undirected,13,1
Isabela-Lupu,Corina-Filip,Undirected,34,1
Isabela-Lupu,Samuel-Tudose,Undirected,5,1
Sebastian-Antonescu,Petru-Dalca,Undirected,4,1
Sebastian-Antonescu,Mihai-Constantin,Undirected,10,1
Sebastian-Antonescu,George-Simion,Undirected,3,1
Sebastian-Antonescu,Stefan-Leonte,Undirected,5,1
Sebastian-Antonescu,Raluca-Tabacu,Undirected,3,1
Sebastian-Antonescu,Robert-Antonescu,Undirected,12,1
Liviu-Cojocaru,Veronica-Matei,Undirected,11,1
Liviu-Cojocaru,Rodica-Vasile,Undirected,6,1
Liviu-Cojocaru,Jhogo,Undirected,4,1
Liviu-Cojocaru,Madalina-Ionascu,Undirected,5,1
Liviu-Cojocaru,Quaro,Undirected,3,1
Liviu-Cojocaru,Rakharo,Undirected,7,1
Lucia-Negrescu,Halder,Undirected,3,1
Lucia-Negrescu,Corina-Filip,Undirected,5,1
Lucia-Negrescu,Rast,Undirected,3,1
Sabina-Petran,Lucia-Funar,Undirected,3,1
Sabina-Petran,Ilinca-Tanase,Undirected,3,1
Sabina-Petran,Halder,Undirected,4,1
Sabina-Petran,Astrid-Dragan,Undirected,10,1
Sabina-Petran,Corina-Filip,Undirected,32,1
Sabina-Petran,Pypar,Undirected,4,1
Sabina-Petran,Rast,Undirected,5,1
Sabina-Petran,Samuel-Tudose,Undirected,8,1
Sabina-Petran,Traian-Lascu,Undirected,7,1
Matei-Ungureanu,Mihai-Constantin,Undirected,11,1
Matei-Ungureanu,Harwin,Undirected,6,1
Matei-Ungureanu,Aimee-Cassel,Undirected,8,1
Matei-Ungureanu,Robert-Antonescu,Undirected,4,1
Matei-Ungureanu,Tomard,Undirected,3,1
Arthur-Dayne,George-Simion,Undirected,4,1
Bogdan-Stefan,Sabina-Popescu,Undirected,3,1
Bogdan-Stefan,Marius-Cojocaru,Undirected,14,1
Bogdan-Stefan,Mircea-Iliescu,Undirected,5,1
Bogdan-Stefan,Nicoleta-Albert,Undirected,12,1
Bogdan-Stefan,Narcisa-Funar,Undirected,3,1
Bogdan-Stefan,Mihai-Constantin,Undirected,30,1
Bogdan-Stefan,Ilyn-Payne,Undirected,5,1
Bogdan-Stefan,Jeyne-Poole,Undirected,10,1
Bogdan-Stefan,Marcian-Manole,Undirected,39,1
Bogdan-Stefan,Corina-Filip,Undirected,37,1
Bogdan-Stefan,Aimee-Cassel,Undirected,12,1
Bogdan-Stefan,Meryn-Trant,Undirected,4,1
Bogdan-Stefan,Teodora-Naumovici,Undirected,39,1
Bogdan-Stefan,Mycah,Undirected,18,1
Bogdan-Stefan,Mariana-Ivan,Undirected,13,1
Bogdan-Stefan,Petru-Bastril,Undirected,3,1
Bogdan-Stefan,Mihnea-Dinu,Undirected,7,1
Bogdan-Stefan,Luiza-Dinu,Undirected,15,1
Bogdan-Stefan,Robert-Antonescu,Undirected,8,1
Bogdan-Stefan,Rodrik-Cassel,Undirected,3,1
Bogdan-Stefan,Sebastian-Clara,Undirected,7,1
Bogdan-Stefan,Sorina-Sicoe,Undirected,104,1
Bogdan-Stefan,Syrio-Forel,Undirected,20,1
Bogdan-Stefan,Tomard,Undirected,6,1
Bogdan-Stefan,Tomas-Barat,Undirected,5,1
Bogdan-Stefan,Vayon-Poole,Undirected,4,1
Bogdan-Stefan,Yoren,Undirected,4,1
Emilian-Albu,Nicoleta-Albert,Undirected,3,1
Elena-Dumitru,Mihai-Constantin,Undirected,3,1
Elena-Dumitru,Robert-Antonescu,Undirected,4,1
Mihnea-Serban,Horia-Avram,Undirected,3,1
Mihnea-Serban,Sebastian-Clara,Undirected,3,1
Ioana-Dumitrescu,Valeriu-Popescu,Undirected,3,1
Ioana-Dumitrescu,Nicoleta-Albert,Undirected,12,1
Ioana-Dumitrescu,Mihai-Constantin,Undirected,28,1
Ioana-Dumitrescu,Stefan-Leonte,Undirected,4,1
Ioana-Dumitrescu,Marcian-Manole,Undirected,6,1
Ioana-Dumitrescu,Raluca-Tabacu,Undirected,4,1
Ioana-Dumitrescu,Meryn-Trant,Undirected,3,1
Ioana-Dumitrescu,Petru-Bastril,Undirected,7,1
Ioana-Dumitrescu,Simona-Enache,Undirected,8,1
Ioana-Dumitrescu,Horia-Avram,Undirected,13,1
Ioana-Dumitrescu,Robert-Antonescu,Undirected,40,1
Ioana-Dumitrescu,Sebastian-Clara,Undirected,3,1
Ioana-Dumitrescu,Sorina-Sicoe,Undirected,3,1
Ioana-Dumitrescu,Viorel-Ivan,Undirected,9,1
Sabina-Popescu,Marius-Cojocaru,Undirected,6,1
Sabina-Popescu,Nicoleta-Albert,Undirected,3,1
Sabina-Popescu,Jaremy-Rykker,Undirected,3,1
Sabina-Popescu,Astrid-Dragan,Undirected,9,1
Sabina-Popescu,Corina-Filip,Undirected,41,1
Sabina-Popescu,Ludwin-John,Undirected,7,1
Sabina-Popescu,Mance-Rayder,Undirected,3,1
Sabina-Popescu,Luiza-Dinu,Undirected,7,1
Sabina-Popescu,Robert-Antonescu,Undirected,3,1
Sabina-Popescu,Ila-Vera,Undirected,4,1
Sabina-Popescu,Traian-Lascu,Undirected,8,1
Sabina-Popescu,Waymar-Royce,Undirected,3,1
Sabina-Popescu,Yoren,Undirected,4,1
Marta-Vasile,Mihai-Constantin,Undirected,3,1
Marta-Vasile,Maria-Marcu,Undirected,6,1
Marta-Vasile,Oxana-Georgescu,Undirected,5,1
Marta-Vasile,Robert-Antonescu,Undirected,5,1
Marta-Vasile,Sorina-Sicoe,Undirected,4,1
Marta-Vasile,Thoros-of-Myr,Undirected,5,1
Valeriu-Popescu,Nicoleta-Albert,Undirected,9,1
Valeriu-Popescu,Marcian-Manole,Undirected,3,1
Valeriu-Popescu,Meryn-Trant,Undirected,5,1
Valeriu-Popescu,Sorina-Sicoe,Undirected,6,1
Lucia-Funar,Astrid-Dragan,Undirected,8,1
Lucia-Funar,Corina-Filip,Undirected,10,1
Lucia-Funar,Samuel-Tudose,Undirected,3,1
Marius-Cojocaru,Mircea-Iliescu,Undirected,18,1
Marius-Cojocaru,Nicoleta-Albert,Undirected,6,1
Marius-Cojocaru,Mihai-Constantin,Undirected,19,1
Marius-Cojocaru,Hali,Undirected,3,1
Marius-Cojocaru,Ionut-Serban,Undirected,3,1
Marius-Cojocaru,Iustin-Mihai,Undirected,29,1
Marius-Cojocaru,Hullen,Undirected,3,1
Marius-Cojocaru,Astrid-Dragan,Undirected,4,1
Marius-Cojocaru,Marcian-Manole,Undirected,3,1
Marius-Cojocaru,Raluca-Tabacu,Undirected,7,1
Marius-Cojocaru,Corina-Filip,Undirected,56,1
Marius-Cojocaru,Aimee-Cassel,Undirected,11,1
Marius-Cojocaru,Joseth,Undirected,4,1
Marius-Cojocaru,Ludwin-John,Undirected,65,1
Marius-Cojocaru,Nan,Undirected,17,1
Marius-Cojocaru,Osha,Undirected,12,1
