Id,Label
Georgiana-Sala,Georgiana Sala
Natalia-Constantin,Natalia Constantin
Isabela-Lupu,Isabela Lupu
Sebastian-Antonescu,Sebastian Antonescu
Liviu-Cojocaru,Liviu Cojocaru
Lucia-Negrescu,Lucia Negrescu
Sabina-Petran,Sabina Petran
Matei-Ungureanu,Matei Ungureanu
Arthur-Dayne,Arthur Dayne
Bogdan-Stefan,Bogdan Stefan
Emilian-Albu,Emilian Albu
Elena-Dumitru,Elena Dumitru
Mihnea-Serban,Mihnea Serban
Ioana-Dumitrescu,Ioana Dumitrescu
Sabina-Popescu,Sabina Popescu
Marta-Vasile,Marta Vasile
Valeriu-Popescu,Valeriu Popescu
Lucia-Funar,Lucia Funar
Marius-Cojocaru,Marius Cojocaru
Petru-Dalca,Petru Dalca
Victoria-Albu,Victoria Albu
Emil-Ionesco,Emil Ionesco
Mircea-Iliescu,Mircea Iliescu
Costin-Lungu,Costin Lungu
Nicoleta-Albert,Nicoleta Albert
Mihail-Ardelean,Mihail Ardelean
Sandra-Adam,Sandra Adam
Martin-Dalca,Martin Dalca
Sonia-Anghelescu,Sonia Anghelescu
Vera-Funar,Vera Funar
Vlad-Dumitru,Vlad Dumitru
Artur-Lupei,Artur Lupei
Veronica-Matei,Veronica Matei
Ionela-Lupei,Ionela Lupei
Octavian-Lupei,Octavian Lupei
Andrei-Anghelescu,Andrei Anghelescu
Narcisa-Funar,Narcisa Funar
Martin-Lupu,Martin Lupu
Irina-Dumitru,Irina Dumitru
Iacob-Dumitru,Iacob Dumitru
Rodica-Vasile,Rodica Vasile
Isabel-Enache,Isabel Enache
Mihai-Constantin,Mihai Constantin
George-Tudose,George Tudose
Ileana-Sirbu,Ileana Sirbu
Ispir-Marian,Ispir Marian
Anton-Albert,Anton Albert
Mihai-Iliescu,Mihai Iliescu
George-Simion,George Simion
Maria-Marcu,Maria Marcu
Ilinca-Tanase,Ilinca Tanase
Gustav-Astor,Gustav Astor
HLiviu-Cojocaru,HLiviu Cojocaru
Halder,Halder
Ionut-Serban,Ionut Serban
Harwin,Harwin
Harys-Swyft,Harys Swyft
Heward,Heward
Ionut-Stefan,Ionut Stefan
Hobb,Hobb
Iustin-Mihai,Iustin Mihai
Hosteen-Frey,Hosteen Frey
Hoster-Tully,Hoster Tully
Hugh,Hugh
Hullen,Hullen
Iustin-George,Iustin George
Ilyn-Payne,Ilyn Payne
Irri,Irri
Jafer-Flowers,Jafer Flowers
Stefan-Leonte,Stefan Leonte
Sergiu-Ion,Sergiu Ion
Jaremy-Rykker,Jaremy Rykker
Astrid-Dragan,Astrid Dragan
Jeyne-Poole,Jeyne Poole
Jhiqui,Jhiqui
Jhogo,Jhogo
Marcian-Manole,Marcian Manole
Jommo,Jommo
Raluca-Tabacu,Raluca Tabacu
Corina-Filip,Corina Filip
Vlad-Drugau,Vlad Drugau
Jonos-Bracken,Jonos Bracken
Madalina-Ionascu,Madalina Ionascu
Aimee-Cassel,Aimee Cassel
Joseth,Joseth
Jyck,Jyck
Karyl-Vance,Karyl Vance
Andreea-Petre,Andreea Petre
Kurleket,Kurleket
Lancel-Lannister,Lancel Lannister
Leo-Lefford,Leo Lefford
Oxana-Georgescu,Oxana Georgescu
Ludwin-John,Ludwin John
Liana-Avram,Liana Avram
Lyn-Corbray,Lyn Corbray
Lisa-Arin,Lisa Arin
Mace-Tyrell,Mace Tyrell
Maege-Mormont,Maege Mormont
Lisa-Anton,Lisa Anton
Marillion,Marillion
Marq-Piper,Marq Piper
Meryn-Trant,Meryn Trant
Mariana-Mitu,Mariana Mitu
Mord,Mord
Teodora-Naumovici,Teodora Naumovici
Morrec,Morrec
Mycah,Mycah
Mariana-Ivan,Mariana Ivan
Nan,Nan
Osha,Osha
